STATO,DEAL NAME,DATA CREAZ.,PRIORITÀ,DEADLINE,LEAD T.,RESIDUI,AZIENDA,BDG CLIENTE,BDG DIBA,OWNER,PRODUCT M.,PRODOTTI,QUANTITÀ
Lead/Coltivazione,26_RITTAL RCS_,02/02/2026,,2026-07-06,154,146,RITTAL RCS,"€ 65.000,00",,Anna Fiscale,,,
Chiusa/conseguita,26_ITS digital academy_felpe zaino_RIORDINO,23/06/2025,,2026-07-30,402,170,ITS digital academy,"€ 33.400,00",,Marco Penazzi,,FELPA; ZAINO NIKKO,500; 500
Lead/Coltivazione,26_BIOLINE JATO'_varie,09/02/2026,medium,2026-07-31,172,171,BIOLINE JATO',"€ 5.000,00",,giorgia magnabosco,,,
Lead/Coltivazione,26_Comac_varie,09/02/2026,medium,2026-07-31,172,171,Comac,"€ 5.000,00",,giorgia magnabosco,,,
Lead/Coltivazione,26_L’ERBOLARIO_ varie,09/02/2026,,2026-07-31,172,171,L’ERBOLARIO,"€ 5.000,00",,giorgia magnabosco,,,
Chiusa/conseguita,25_KPMG_CASE UMBERTO_31aug26,18/11/2025,,2026-08-31,286,202,KPMG,"€ 4.350,00",,Marco Penazzi,,ASTUCCIO UMBERTO,500
Lead/Coltivazione,26_Pakelo_regali di NATALE,22/01/2026,medium,2026-08-31,221,202,pakelo.it,"€ 13.700,00",,Martina Cagalli,,POUCH ESSE; POUCH,1; 1
Lead/Coltivazione,25_KPMG_KIT NASCITA,28/05/2025,,2026-09-01,461,203,KPMG,"€ 16.733,00",,Marco Penazzi,,KIT NASCITA,290
Preventivo/negoziazione,26_KERING_portachiavi,15/01/2026,,2026-09-01,229,203,KERING,"€ 15.000,00",,Marco Penazzi,,PORTACHIAVI,1
Preventivo/negoziazione,26_GOLDEN POINT_ss26,21/03/2025,,2026-09-07,535,209,GOLDEN POINT,"€ 10.000,00",,Marco Penazzi,,BEAUTY,5000
Lead/Coltivazione,26_miamo_gift,09/02/2026,medium,2026-09-30,233,232,miamo.it,"€ 10.000,00",,giorgia magnabosco,,,
Lead/Coltivazione,26_OTB_SHOPPER NATALE,15/01/2026,,2026-10-05,263,237,OTB Group,"€ 45.000,00",,giorgia magnabosco,,SHOPPER,
Lead/Coltivazione,26_Publicis Groupe,02/02/2026,,2026-10-05,245,237,Publicis Groupe,"€ 1.000,00",,Mara Giacomazzi,,,
Presentazione pianificata,25_ERNST & YOUNG_Natale,21/03/2025,high,2026-10-05,563,237,ERNEST&YOUNG,"€ 300.000,00",,Marco Penazzi,,REGALI DI NATALE,9000
